------------ VAE architecture optimization ------------
DATE: 23/05/2022
k = 5e-6
epochs = 5000
batch_size = 256
optimizer = Adam (default)

----------------------------------------------------------------------
|  Trial  |    Architecture    |       FID       | Training time [s] |
|   163   |  [361, 205, 301]   |    0.001733     |       74.9        |
|   164   |  [321, 140, 260]   |    0.001483     |       72.5        |
|   165   |  [277, 177, 280]   |    0.002152     |       74.9        |
|   166   |  [933, 163, 247]   |    0.001138     |       75.1        |
|   167   |  [461, 131, 312]   |    0.001154     |       75.2        |
|   168   |  [864, 186, 332]   |    2.627189     |       75.1        |
|   169   |  [532, 220, 893]   |    2.808341     |       74.5        |
|   170   |  [336, 264, 223]   |    0.001110     |       71.2        |
|   171   |  [289, 202, 258]   |    0.001778     |       72.3        |
|   172   |  [311, 156, 241]   |    0.000950     |       74.2        |
|   173   |  [309, 155, 288]   |    0.001137     |       74.5        |
|   174   |  [350, 144, 207]   |    0.001406     |       73.6        |
|   175   |  [381, 176, 269]   |    0.116040     |       74.4        |
|   176   |  [327, 129, 169]   |    0.001407     |       73.2        |
|   177   |  [404, 161, 232]   |    0.001225     |       75.6        |
|   178   |  [436, 170, 243]   |    0.001031     |       75.7        |
|   179   |  [430, 190, 750]   |    0.003983     |       74.7        |
|   180   |  [430, 723, 602]   |    0.132437     |       75.2        |
|   181   |  [494, 168, 233]   |    0.001587     |       75.2        |
|   182   |  [842, 639, 195]   |    0.021091     |       75.1        |
|   183   |  [643, 148, 253]   |    0.001329     |       75.3        |
|   184   |  [249, 129, 278]   |    0.001815     |       73.9        |
|   185   |  [455, 173, 300]   |    0.001498     |       75.2        |
|   186   |  [595, 155, 322]   |    0.001174     |       75.1        |
|   187   |  [666, 183, 244]   |    0.000971     |       75.2        |
|   188   |     [210, 234]     |    0.013080     |       59.8        |
|   189   |  [694, 229, 214]   |    0.006530     |       75.4        |
|   190   |  [300, 193, 246]   |    0.001416     |       75.8        |
|   191   |  [672, 149, 267]   |    0.024482     |       75.2        |
|   192   |  [626, 175, 289]   |    0.001494     |       75.5        |
|   193   |  [277, 163, 267]   |    0.001546     |       74.9        |
|   194   |  [514, 184, 242]   |    0.001153     |       75.4        |
|   195   |  [654, 143, 306]   |    0.001148     |       75.4        |
|   196   |  [891, 372, 219]   |    0.002522     |       75.4        |
|   197   |  [337, 198, 282]   |    0.001923     |       73.9        |
|   198   |  [711, 160, 189]   |    0.001045     |       75.5        |
|   199   |  [706, 163, 191]   |    0.001244     |       75.5        |
|   200   |  [729, 209, 163]   |    0.001055     |       75.7        |
|   201   |  [688, 142, 256]   |    0.001041     |       75.9        |
|   202   |  [692, 149, 254]   |    0.225085     |       75.6        |
|   203   |  [680, 176, 211]   |    0.001021     |       75.3        |
|   204   |  [665, 178, 218]   |    0.001357     |       75.5        |
|   205   |  [688, 128, 243]   |    0.001124     |       75.4        |
|   206   |  [677, 189, 226]   |    0.013223     |       75.2        |
|   207   |  [647, 173, 261]   |    9.225363     |       75.2        |
|   208   |  [829, 150, 273]   |    0.001083     |       74.6        |
|   209   |  [739, 206, 210]   |    0.160942     |       74.9        |
|   210   |  [317, 245, 243]   |    0.005178     |       72.9        |
|   211   |  [719, 164, 181]   |    0.001252     |       75.2        |
|   212   |  [670, 150, 197]   |    0.000738     |       74.9        |
|   213   |  [671, 142, 201]   |    0.001562     |       74.9        |
|   214   |  [370, 184, 234]   |    0.001499     |       75.0        |
|   215   |  [796, 142, 256]   |    0.337105     |       75.2        |
|   216   |  [870, 128, 283]   |    0.001404     |       75.1        |
|   217   |  [662, 164, 227]   |    0.001374     |       75.3        |
|   218   |  [639, 188, 268]   |    1.289016     |       74.0        |
|   219   |  [289, 155, 203]   |    0.001044     |       74.5        |
|   220   |  [687, 171, 298]   |    0.001141     |       75.1        |
|   221   |  [303, 150, 151]   |    0.001642     |       74.7        |
|   222   |  [260, 157, 211]   |    0.001250     |       74.1        |
|   223   |  [274, 178, 202]   |    0.002068     |       74.6        |
|   224   |  [292, 156, 992]   |    0.275564     |       71.1        |
|   225   |  [705, 128, 173]   |    0.001204     |       75.3        |
|   226   |  [479, 194, 248]   |    0.001044     |       74.5        |
|   227   |  [354, 146, 228]   |    0.000936     |       74.2        |
|   228   |  [348, 143, 233]   |    0.001131     |       73.9        |
|   229   |  [408, 171, 259]   |    0.000978     |       75.3        |
|   230   |  [409, 178, 317]   |    0.001502     |       75.2        |
|   231   |  [442, 169, 260]   |    0.321426     |       75.1        |
|   232   |  [430, 142, 279]   |    0.000831     |       74.8        |
|   233   |  [425, 203, 272]   |    0.000847     |       74.4        |
|   234   |  [388, 225, 285]   |    0.001445     |       73.7        |
|   235   |  [403, 326, 296]   |    0.001394     |       73.1        |
|   236   |  [361, 208, 274]   |    0.001147     |       72.2        |
|   237   |  [416, 197, 309]   |    0.000977     |       75.0        |
|   238   |  [415, 192, 315]   |    0.096598     |       75.2        |
|   239   |  [409, 205, 344]   |    0.002288     |       75.0        |
|   240   |  [421, 182, 308]   |    0.001804     |       75.3        |
|   241   |  [378, 161, 277]   |    0.000955     |       73.7        |
|   242   |  [459, 161, 277]   |    0.001419     |       75.2        |
|   243   |  [397, 144, 292]   |    0.001430     |       73.5        |
|   244   |  [382, 167, 324]   |    0.001294     |       73.9        |
|   245   |  [430, 129, 265]   |    0.001115     |       74.9        |
|   246   |  [370, 186, 284]   |    0.001452     |       74.8        |
|   247   |  [450, 151, 305]   |    0.001270     |       75.2        |
|   248   |  [387, 201, 267]   |    0.001765     |       74.6        |
|   249   |  [851, 171, 247]   |    0.033329     |       75.1        |
|   250   |  [350, 217, 286]   |    0.001750     |       73.4        |
|   251   |  [427, 143, 331]   |    0.001062     |       74.8        |
|   252   |  [327, 163, 259]   |    0.001390     |       73.3        |
|   253   |  [613, 188, 223]   |    0.001133     |       75.2        |
|   254   |     [144, 299]     |    0.013586     |       60.5        |
|   255   |  [373, 176, 393]   |    0.001092     |       73.9        |
|   256   |  [814, 128, 276]   |    0.001087     |       74.2        |
|   257   |  [398, 157, 365]   |    0.001248     |       75.1        |
|   258   |  [773, 811, 240]   |    30.299459    |       75.2        |
|   259   |  [420, 197, 249]   |    0.001623     |       74.9        |
|   260   |  [330, 896, 221]   |    0.001907     |       74.3        |
|   261   |  [666, 230, 274]   |    0.314174     |       74.4        |
|   262   |  [313, 155, 304]   |    0.000931     |       74.7        |
|   263   |  [314, 152, 342]   |    0.001517     |       73.9        |
|   264   |  [338, 143, 321]   |    0.001658     |       73.0        |
|   265   |  [358, 166, 304]   |    0.001929     |       74.0        |
|   266   |  [305, 176, 294]   |    0.001647     |       74.7        |
|   267   |  [920, 156, 259]   |    0.001724     |       74.7        |
|   268   |  [438, 140, 234]   |    0.001122     |       74.8        |
|   269   |  [1008, 129, 184]  |    0.001499     |       75.4        |
|   270   |  [632, 182, 315]   |    0.001854     |       75.2        |
|   271   |  [466, 161, 275]   |    0.001327     |       75.0        |
|   272   |  [748, 1018, 252]  |    0.007831     |       75.1        |
|   273   |  [317, 501, 219]   |    0.004648     |       72.8        |
|   274   |  [649, 175, 292]   |    0.001188     |       75.2        |
|   275   |  [404, 145, 333]   |    0.000849     |       75.0        |
|   276   |  [379, 143, 353]   |    0.001288     |       73.5        |
|   277   |  [395, 129, 327]   |    0.001049     |       74.8        |
|   278   |  [404, 155, 372]   |    0.506167     |       74.9        |
|   279   |  [439, 147, 333]   |    0.001435     |       74.9        |
|   280   |  [423, 197, 348]   |    0.001418     |       74.9        |
|   281   |  [285, 162, 302]   |    0.001279     |       74.7        |
|   282   |  [354, 144, 316]   |    0.000998     |       72.8        |
|   283   |  [348, 163, 304]   |    0.001104     |       73.6        |
|   284   |  [370, 212, 657]   |    0.003514     |       72.9        |
